episode,timestep,reward,steps,success
1,400,-126.2004,400,0
2,800,-119.4004,400,0
3,1200,-138.5004,400,0
4,1600,-138.1004,400,0
5,2000,-132.3004,400,0
6,2400,-115.5003,400,0
7,2800,-118.1003,400,0
8,3200,-109.8004,400,0
9,3600,-138.6004,400,0
10,4000,-133.7004,400,0
11,4400,-111.1003,400,0
12,4800,-118.0003,400,0
13,5184,2.5997,384,1
14,5584,-126.6004,400,0
15,5771,76.3,187,1
16,6171,-122.0003,400,0
17,6571,-123.6004,400,0
18,6971,-108.9003,400,0
19,7371,-130.9005,400,0
20,7771,-98.0001,400,0
21,7989,71.6,218,1
22,8060,110.7,71,1
23,8209,90.1,149,1
24,8609,-119.9004,400,0
25,9009,-127.8004,400,0
26,9409,-114.7004,400,0
27,9809,-122.9004,400,0
28,9872,108.3,63,1
29,10272,-125.7004,400,0
30,10672,-118.6004,400,0
31,11009,32.9,337,1
32,11409,-107.9002,400,0
33,11809,-131.4005,400,0
34,12209,-119.1004,400,0
35,12609,-128.7004,400,0
36,13009,-106.0003,400,0
37,13409,-121.5004,400,0
38,13809,-117.3004,400,0
39,14209,-113.9004,400,0
40,14609,-123.2004,400,0
41,15009,-130.2004,400,0
42,15409,-111.5003,400,0
43,15809,-100.5002,400,0
44,16209,-127.1004,400,0
45,16609,-126.7004,400,0
46,17009,-118.6004,400,0
47,17409,-109.0003,400,0
48,17809,-128.9004,400,0
49,18209,-122.5004,400,0
50,18609,-113.5003,400,0
51,19009,-114.5003,400,0
52,19199,77.6,190,1
53,19599,-116.8004,400,0
54,19999,-120.4004,400,0
55,20399,-107.7003,400,0
56,20799,-120.8004,400,0
57,21199,-123.6004,400,0
58,21599,-125.4004,400,0
59,21999,-102.4003,400,0
60,22399,-102.0002,400,0
61,22799,-109.9003,400,0
62,23199,-111.6003,400,0
63,23341,87.4,142,1
64,23741,-120.7004,400,0
65,24141,-114.9003,400,0
66,24541,-120.5004,400,0
67,24941,-120.6004,400,0
68,25341,-105.7002,400,0
69,25741,-114.0003,400,0
70,26141,-121.6004,400,0
71,26541,-121.9004,400,0
72,26941,-115.9004,400,0
73,27341,-115.5003,400,0
74,27741,-97.1002,400,0
75,28141,-126.1004,400,0
76,28541,-130.3004,400,0
77,28941,-110.1002,400,0
78,29285,11.0997,344,1
79,29685,-132.2004,400,0
80,30085,-108.4003,400,0
81,30485,-133.5004,400,0
82,30885,-104.9002,400,0
83,31285,-110.9003,400,0
84,31685,-124.5004,400,0
85,32085,-99.7002,400,0
86,32485,-101.1002,400,0
87,32885,-122.5004,400,0
88,33285,-116.2004,400,0
89,33685,-122.1004,400,0
90,34085,-117.4004,400,0
91,34485,-124.1004,400,0
92,34885,-106.1003,400,0
93,35285,-107.2003,400,0
94,35685,-107.7002,400,0
95,36085,-117.2003,400,0
96,36485,-123.6003,400,0
97,36885,-98.7001,400,0
98,37285,-107.0003,400,0
99,37685,-124.5004,400,0
100,38085,-117.4004,400,0
101,38485,-90.7002,400,0
102,38885,-107.1003,400,0
103,39285,-108.1004,400,0
104,39685,-125.8004,400,0
105,40085,-115.3003,400,0
106,40400,39.9001,315,1
107,40800,-104.0002,400,0
108,41200,-105.3002,400,0
109,41600,-96.9001,400,0
110,42000,-127.7004,400,0
111,42400,-105.5002,400,0
112,42800,-111.8003,400,0
113,42867,112.3,67,1
114,43267,-122.5003,400,0
115,43424,87.9,157,1
116,43824,-122.9004,400,0
117,44224,-114.2003,400,0
118,44624,-105.8003,400,0
119,45024,-118.2004,400,0
