episode,timestep,reward,steps,success
1,1000,-261.4974,1000,0
2,2000,-232.9984,1000,0
3,3000,-216.999,1000,0
4,4000,-175.4994,1000,0
5,5000,-158.0005,1000,0
6,5405,160.45,405,1
7,6405,-198.4988,1000,0
8,7405,-186.4997,1000,0
9,7903,180.0199,498,1
10,8484,154.6902,581,1
11,9104,160.8004,620,1
12,9758,172.46,654,1
13,10356,201.0199,598,1
14,10510,222.46,154,1
15,10867,207.93,357,1
16,11277,234.9,410,1
17,12277,-88.0,1000,0
18,12786,233.41,509,1
19,12890,226.96,104,1
20,13156,235.3401,266,1
21,13448,225.08,292,1
22,13750,242.9801,302,1
23,14375,204.2503,625,1
24,14593,234.82,218,1
25,14778,241.65,185,1
26,14966,226.12,188,1
27,15183,253.3301,217,1
28,15492,245.41,309,1
29,15774,256.1802,282,1
30,16150,264.2403,376,1
31,16343,258.5701,193,1
32,16668,251.2503,325,1
33,16979,272.3901,311,1
34,17255,240.24,276,1
35,17433,232.22,178,1
36,17930,288.5298,497,1
37,18095,247.8501,165,1
38,18435,279.6001,340,1
39,18663,282.7201,228,1
40,18780,246.3301,117,1
41,19059,282.7099,279,1
42,19207,221.52,148,1
43,19551,244.56,344,1
44,19924,273.7701,373,1
45,20076,243.48,152,1
46,20231,244.9501,155,1
47,20333,236.98,102,1
48,20607,247.2601,274,1
49,20829,272.7802,222,1
50,21165,269.6402,336,1
51,21534,283.81,369,1
52,21904,286.3,370,1
53,22230,263.7403,326,1
54,22425,246.5501,195,1
55,22769,282.56,344,1
56,22867,243.02,98,1
57,23146,249.7102,279,1
58,23484,268.6201,338,1
59,23680,260.0401,196,1
60,23861,247.6902,181,1
61,24034,259.7701,173,1
62,24308,272.26,274,1
63,24609,274.4902,301,1
64,24710,238.49,101,1
65,24888,249.2201,178,1
66,25174,270.1402,286,1
67,25526,287.48,352,1
68,25835,286.4101,309,1
69,25955,230.8,120,1
70,26134,260.7101,179,1
71,26306,256.2801,172,1
72,26552,265.5402,246,1
