path_length,manhattan_distance,tortuosity,dead_end_count,junction_3_count,junction_4_count,junction_3_proportion,junction_4_proportion,total_junctions,turn_count,straight_count,total_corridors,total_passage_cells
64,36,1.7777777777777777,13,11,0,1.0,0.0,11,11,12,23,199
88,36,2.4444444444444446,10,8,0,1.0,0.0,8,7,10,17,199
84,36,2.3333333333333335,5,3,0,1.0,0.0,3,4,3,7,199
56,36,1.5555555555555556,14,12,0,1.0,0.0,12,15,10,25,199
56,36,1.5555555555555556,12,8,1,0.8888888888888888,0.1111111111111111,9,13,7,20,199
52,36,1.4444444444444444,12,10,0,1.0,0.0,10,11,10,21,199
120,36,3.3333333333333335,11,9,0,1.0,0.0,9,13,6,19,199
136,36,3.7777777777777777,13,11,0,1.0,0.0,11,14,9,23,199
100,36,2.7777777777777777,10,8,0,1.0,0.0,8,11,6,17,199
112,36,3.111111111111111,12,10,0,1.0,0.0,10,12,9,21,199
160,36,4.444444444444445,10,8,0,1.0,0.0,8,13,4,17,199
64,36,1.7777777777777777,11,9,0,1.0,0.0,9,11,8,19,199
116,36,3.2222222222222223,12,10,0,1.0,0.0,10,13,8,21,199
96,36,2.6666666666666665,13,11,0,1.0,0.0,11,12,11,23,199
56,36,1.5555555555555556,14,12,0,1.0,0.0,12,14,11,25,199
112,36,3.111111111111111,12,10,0,1.0,0.0,10,13,8,21,199
64,36,1.7777777777777777,9,7,0,1.0,0.0,7,11,4,15,199
92,36,2.5555555555555554,11,9,0,1.0,0.0,9,13,6,19,199
140,36,3.888888888888889,7,5,0,1.0,0.0,5,9,2,11,199
56,36,1.5555555555555556,12,10,0,1.0,0.0,10,12,9,21,199
84,36,2.3333333333333335,13,11,0,1.0,0.0,11,12,11,23,199
68,36,1.8888888888888888,12,10,0,1.0,0.0,10,16,5,21,199
96,36,2.6666666666666665,11,9,0,1.0,0.0,9,13,6,19,199
96,36,2.6666666666666665,13,9,1,0.9,0.1,10,12,10,22,199
100,36,2.7777777777777777,13,11,0,1.0,0.0,11,17,6,23,199
84,36,2.3333333333333335,15,13,0,1.0,0.0,13,12,15,27,199
88,36,2.4444444444444446,12,10,0,1.0,0.0,10,13,8,21,199
80,36,2.2222222222222223,12,10,0,1.0,0.0,10,15,6,21,199
112,36,3.111111111111111,11,9,0,1.0,0.0,9,13,6,19,199
108,36,3.0,14,12,0,1.0,0.0,12,17,8,25,199
84,36,2.3333333333333335,13,11,0,1.0,0.0,11,14,9,23,199
68,36,1.8888888888888888,11,9,0,1.0,0.0,9,8,11,19,199
76,36,2.111111111111111,10,8,0,1.0,0.0,8,13,4,17,199
56,36,1.5555555555555556,14,12,0,1.0,0.0,12,14,11,25,199
104,36,2.888888888888889,13,11,0,1.0,0.0,11,11,12,23,199
68,36,1.8888888888888888,13,11,0,1.0,0.0,11,16,7,23,199
92,36,2.5555555555555554,14,12,0,1.0,0.0,12,13,12,25,199
116,36,3.2222222222222223,13,11,0,1.0,0.0,11,15,8,23,199
116,36,3.2222222222222223,11,9,0,1.0,0.0,9,14,5,19,199
60,36,1.6666666666666667,12,10,0,1.0,0.0,10,14,7,21,199
100,36,2.7777777777777777,9,7,0,1.0,0.0,7,10,5,15,199
44,36,1.2222222222222223,13,11,0,1.0,0.0,11,16,7,23,199
120,36,3.3333333333333335,12,10,0,1.0,0.0,10,15,6,21,199
68,36,1.8888888888888888,15,13,0,1.0,0.0,13,13,14,27,199
144,36,4.0,10,8,0,1.0,0.0,8,12,5,17,199
132,36,3.6666666666666665,15,13,0,1.0,0.0,13,16,11,27,199
44,36,1.2222222222222223,15,13,0,1.0,0.0,13,16,11,27,199
140,36,3.888888888888889,11,9,0,1.0,0.0,9,12,7,19,199
84,36,2.3333333333333335,10,8,0,1.0,0.0,8,11,6,17,199
72,36,2.0,11,9,0,1.0,0.0,9,6,13,19,199
