path_length,manhattan_distance,tortuosity,dead_end_count,junction_3_count,junction_4_count,junction_3_proportion,junction_4_proportion,total_junctions,turn_count,straight_count,total_corridors,total_passage_cells
136,36,3.7777777777777777,12,10,0,1.0,0.0,10,12,9,21,199
140,36,3.888888888888889,13,11,0,1.0,0.0,11,14,9,23,199
116,36,3.2222222222222223,13,11,0,1.0,0.0,11,11,12,23,199
76,36,2.111111111111111,11,9,0,1.0,0.0,9,14,5,19,199
132,36,3.6666666666666665,13,11,0,1.0,0.0,11,9,14,23,199
56,36,1.5555555555555556,13,11,0,1.0,0.0,11,16,7,23,199
96,36,2.6666666666666665,12,10,0,1.0,0.0,10,11,10,21,199
124,36,3.4444444444444446,12,10,0,1.0,0.0,10,12,9,21,199
84,36,2.3333333333333335,10,8,0,1.0,0.0,8,14,3,17,199
76,36,2.111111111111111,13,11,0,1.0,0.0,11,17,6,23,199
84,36,2.3333333333333335,10,8,0,1.0,0.0,8,13,4,17,199
108,36,3.0,13,11,0,1.0,0.0,11,14,9,23,199
112,36,3.111111111111111,11,9,0,1.0,0.0,9,13,6,19,199
52,36,1.4444444444444444,15,13,0,1.0,0.0,13,11,16,27,199
80,36,2.2222222222222223,12,10,0,1.0,0.0,10,11,10,21,199
108,36,3.0,13,11,0,1.0,0.0,11,13,10,23,199
140,36,3.888888888888889,13,11,0,1.0,0.0,11,14,9,23,199
128,36,3.5555555555555554,13,11,0,1.0,0.0,11,15,8,23,199
48,36,1.3333333333333333,11,9,0,1.0,0.0,9,13,6,19,199
84,36,2.3333333333333335,12,10,0,1.0,0.0,10,15,6,21,199
80,36,2.2222222222222223,11,9,0,1.0,0.0,9,12,7,19,199
96,36,2.6666666666666665,11,9,0,1.0,0.0,9,11,8,19,199
124,36,3.4444444444444446,10,8,0,1.0,0.0,8,7,10,17,199
72,36,2.0,11,9,0,1.0,0.0,9,13,6,19,199
72,36,2.0,12,10,0,1.0,0.0,10,13,8,21,199
56,36,1.5555555555555556,11,9,0,1.0,0.0,9,15,4,19,199
84,36,2.3333333333333335,14,12,0,1.0,0.0,12,12,13,25,199
92,36,2.5555555555555554,10,8,0,1.0,0.0,8,15,2,17,199
100,36,2.7777777777777777,10,8,0,1.0,0.0,8,9,8,17,199
124,36,3.4444444444444446,10,8,0,1.0,0.0,8,10,7,17,199
84,36,2.3333333333333335,9,7,0,1.0,0.0,7,11,4,15,199
100,36,2.7777777777777777,12,10,0,1.0,0.0,10,13,8,21,199
120,36,3.3333333333333335,9,7,0,1.0,0.0,7,13,2,15,199
80,36,2.2222222222222223,12,10,0,1.0,0.0,10,10,11,21,199
60,36,1.6666666666666667,13,11,0,1.0,0.0,11,14,9,23,199
156,36,4.333333333333333,9,7,0,1.0,0.0,7,9,6,15,199
72,36,2.0,10,8,0,1.0,0.0,8,12,5,17,199
124,36,3.4444444444444446,10,8,0,1.0,0.0,8,12,5,17,199
112,36,3.111111111111111,12,10,0,1.0,0.0,10,12,9,21,199
60,36,1.6666666666666667,10,8,0,1.0,0.0,8,12,5,17,199
116,36,3.2222222222222223,10,8,0,1.0,0.0,8,13,4,17,199
48,36,1.3333333333333333,10,8,0,1.0,0.0,8,10,7,17,199
96,36,2.6666666666666665,14,12,0,1.0,0.0,12,13,12,25,199
132,36,3.6666666666666665,12,10,0,1.0,0.0,10,10,11,21,199
60,36,1.6666666666666667,8,6,0,1.0,0.0,6,10,3,13,199
68,36,1.8888888888888888,14,12,0,1.0,0.0,12,12,13,25,199
52,36,1.4444444444444444,10,8,0,1.0,0.0,8,11,6,17,199
88,36,2.4444444444444446,8,6,0,1.0,0.0,6,10,3,13,199
100,36,2.7777777777777777,14,12,0,1.0,0.0,12,13,12,25,199
120,36,3.3333333333333335,10,8,0,1.0,0.0,8,11,6,17,199
120,36,3.3333333333333335,11,9,0,1.0,0.0,9,11,8,19,199
96,36,2.6666666666666665,11,9,0,1.0,0.0,9,13,6,19,199
104,36,2.888888888888889,11,9,0,1.0,0.0,9,14,5,19,199
64,36,1.7777777777777777,14,10,1,0.9090909090909091,0.09090909090909091,11,14,10,24,199
120,36,3.3333333333333335,9,5,1,0.8333333333333334,0.16666666666666666,6,10,4,14,199
52,36,1.4444444444444444,13,9,1,0.9,0.1,10,15,7,22,199
96,36,2.6666666666666665,9,7,0,1.0,0.0,7,12,3,15,199
80,36,2.2222222222222223,11,7,1,0.875,0.125,8,12,6,18,199
