index,seed
0,376363122316573395
1,10019455935976116861
2,16787081540361931191
3,9147544949944784641
4,10996106305446360283
5,735182397203136965
6,17816038228371431487
7,12905469981551351497
8,7313829941951541219
9,7491689494042139149
10,18330129907677939655
11,7801046520320167825
12,5299474231826680811
13,12457431894004464469
14,1637503426823299151
15,5747315924601364825
16,8534702705395591411
17,10569695124069533085
18,285286265318672855
19,5575488543728725025
20,17616418235068770043
21,12308812902297426149
22,11499999923299394655
23,17138208906467987433
24,8431398435869304323
25,6120131887927153965
26,10626301220210118631
27,8167080124697160881
28,8429258957809206795
29,9610932219898583669
30,7223819229852003439
31,13692120453363147385
32,12639327633887487763
33,6608119131777206461
34,14694879413134481911
35,2194782346449834305
36,16132590597943175451
37,9884358562651209733
38,7230091187535247487
39,15003368128659675401
40,15354757761212034083
41,9744983818661584973
42,11645751497175066631
43,7081775976337824209
44,15223935837955756075
45,11389858057315633557
46,2071671155519735951
47,16400874687993770905
48,5099420738384786739
49,13476240090806803421
50,3317793483535071767
51,16256464729010685537
52,14302073749657254715
53,1669629704394815269
54,15537979742638988447
55,3936147667339735593
56,7378608628334215747
57,12522824766809308013
58,18445378377204518951
59,12140454837311313649
60,6491415066292447819
61,9428773105038248117
62,18185889957849380015
63,6264747062669235385
64,16658804869134848851
65,13369076878170603261
66,7742519232235809335
67,18030022753410042753
68,12100097891917061467
69,8842803568204676677
70,6891311036960952511
71,17400544545183308617
72,2132291784425039971
73,12357229105657915021
74,15688173338432358471
75,2403630251672396817
76,10597618895502496875
77,8332607976395167701
78,10613795957350150351
79,11703703015027361241
80,5715478475257397619
81,10675387324429251101
82,1823409024735619671
83,4590368458991132833
84,1719673072547024763
85,10212192109649515877
86,3927428597009700063
87,14208888376134816873
88,239555770904911491
89,10898766101218714029
90,12536709820143915111
91,2183984797349986609
92,11232761268378455691
93,7229916147026523893
94,5019151630694005999
95,4932784656274736889
96,5895568172946096019
97,13530924165752010045
98,2361141265689393783
99,18264582940446164417
